"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.JpaCacheProperties","7","4","0","0.0","0","80400","700.0","77900"
"org.openrewrite.java.ChangeMethodTargetToStatic","7","4","0","0.0","0","299700","18428.0","62800"
"org.openrewrite.java.testing.testcontainers.Testcontainers2Migration","7","4","17800","0.0","13200","30800","3424.0","19700"
"org.openrewrite.java.migrate.javax.AddJaxbAPIDependencies","7","4","11100","0.0","9200","31500","1200.0","26800"
"org.openrewrite.xml.ChangeTagAttribute","7","4","0","0.0","0","15498000","700.0","3701400"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5_TimeUnit","7","4","11400","0.0","1800","25700","3696.0","3700"
"org.openrewrite.java.spring.boot2.HeadersConfigurerLambdaDsl","7","4","0","0.0","0","121400","118776.0","117200"
"org.openrewrite.java.migrate.lang.UseTextBlocks","7","4","0","0.0","0","564700","376824.0","361300"
"org.openrewrite.java.flyway.AddFlywayModuleMySQL","7","4","9500","0.0","2600","6300","816.0","3200"
"org.openrewrite.openapi.swagger.MigrateApiImplicitParam","7","4","0","0.0","0","26200","9200.0","9100"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5_DeprecatedMethods","7","4","20200","0.0","4600","67300","5872.0","5800"
"org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers","7","4","18000","0.0","8600","23800","13280.0","12900"
"org.openrewrite.java.migrate.jakarta.RestAssuredJavaxToJakarta","7","4","12000","0.0","5300","11500","1712.0","4700"
"org.openrewrite.java.testing.mockito.CleanupMockitoImports","7","4","0","0.0","0","162000","114680.0","112200"
"org.openrewrite.java.migrate.UpgradeToJava17","7","4","13200","0.0","5900","58400","5360.0","46800"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2","7","4","9100","0.0","6400","13000","2032.0","7100"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3","7","4","12000","0.0","6100","8900","1208.0","5100"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4","7","4","10100","0.0","7200","12000","1328.0","6900"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5","7","4","11800","0.0","4100","9800","3832.0","3800"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_0","7","4","11700","0.0","6800","28300","824.0","24800"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_1","7","4","15100","0.0","12600","15500","4592.0","4800"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","7","4","15800","0.0","14000","8100","1120.0","2600"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","7","4","8100","0.0","5300","13800","3312.0","5800"
"org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","7","4","5100","0.0","2700","7200","1712.0","2200"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","7","4","11300","0.0","5000","8400","1392.0","2800"
"org.openrewrite.java.dependencies.ChangeDependency","7","4","0","0.0","0","116459000","14332.0","3566000"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","7","4","6100","0.0","3300","17300","3440.0","9000"
"org.openrewrite.java.spring.framework.MigrateResponseStatusExceptionGetStatusCodeMethod","7","4","0","0.0","0","22600","6396.0","6200"
"org.openrewrite.apache.httpclient4.UpgradeApacheHttpClient_4_5","7","4","14100","0.0","3200","14100","1400.0","1400"
"org.openrewrite.openapi.swagger.MigrateApiImplicitParamsToParameters","7","4","17100","0.0","12300","21600","2656.0","11400"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","7","4","4600","0.0","2600","13000","3056.0","7000"
"org.openrewrite.java.spring.boot2.DatabaseComponentAndBeanInitializationOrdering","7","4","7955800","0.0","7527800","22100","5856.0","7000"
"org.openrewrite.java.springdoc.ApiInfoBuilderToInfo","7","4","0","0.0","0","1797900","310272.0","1260400"
"org.openrewrite.java.testing.junit5.AddJupiterDependencies","7","4","2105300","0.0","1235100","3373600","27392.0","3301900"
"org.openrewrite.java.spring.batch.MigrateItemWriterWrite","7","4","0","0.0","0","18200","7672.0","7600"
"org.openrewrite.hibernate.MigrateToHypersistenceUtilsHibernate6.2","7","4","21000","0.0","5100","35300","6396.0","6200"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","7","4","6900","0.0","4800","15600","3184.0","8500"
"org.openrewrite.java.testing.junit5.TemporaryFolderToTempDir","7","4","0","0.0","0","12900","3324.0","4700"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","7","4","8600","0.0","6600","31300","6336.0","13600"
"org.openrewrite.hibernate.MigrateToHypersistenceUtilsHibernate6.0","7","4","19600","0.0","4100","30900","3448.0","3400"
"org.openrewrite.hibernate.MigrateToHypersistenceUtilsHibernate6.3","7","4","4900","0.0","500","10400","1016.0","2400"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","7","4","4200","0.0","1700","15300","2288.0","9100"
